iter	Passed	Remaining
467	1869	2125
468	1873	2121
469	1878	2117
470	1882	2114
471	1886	2110
472	1890	2106
473	1894	2101
474	1897	2097
475	1902	2094
476	1907	2091
477	1912	2088
478	1916	2084
479	1921	2081
480	1925	2077
481	1929	2073
482	1933	2069
483	1937	2065
484	1940	2060
485	1944	2056
486	1948	2052
487	1952	2048
488	1956	2044
489	1960	2040
490	1964	2036
491	1968	2032
492	1972	2028
493	1975	2023
494	1980	2020
495	1984	2016
496	1987	2011
497	1991	2007
498	1996	2004
499	2001	2001
500	2006	1998
501	2011	1995
502	2015	1991
503	2018	1986
504	2022	1982
505	2027	1979
506	2031	1975
507	2035	1971
508	2040	1967
509	2044	1964
510	2048	1959
511	2052	1956
512	2056	1952
513	2060	1948
514	2065	1944
515	2069	1940
516	2074	1937
517	2077	1933
518	2081	1928
519	2086	1925
520	2092	1923
521	2095	1919
522	2099	1914
523	2103	1910
524	2107	1906
525	2112	1903
526	2116	1900
527	2121	1896
528	2125	1892
529	2128	1887
530	2132	1883
531	2137	1879
532	2141	1876
533	2145	1871
534	2149	1868
535	2153	1864
536	2157	1859
537	2161	1855
538	2165	1852
539	2169	1847
540	2173	1843
541	2176	1839
542	2180	1835
543	2184	1831
544	2189	1827
545	2194	1824
546	2199	1821
547	2204	1818
548	2208	1814
549	2212	1810
550	2216	1806
551	2221	1802
552	2225	1798
553	2229	1795
554	2233	1790
555	2236	1786
556	2240	1782
557	2245	1778
558	2249	1775
559	2255	1771
560	2259	1768
561	2263	1764
562	2267	1760
563	2271	1756
564	2275	1751
565	2279	1747
566	2283	1743
567	2287	1739
568	2291	1735
569	2295	1731
570	2299	1727
571	2303	1723
572	2307	1719
573	2311	1715
574	2315	1711
575	2318	1707
576	2322	1702
577	2326	1698
578	2330	1694
579	2334	1690
580	2340	1687
581	2345	1684
582	2349	1680
583	2352	1676
584	2356	1671
585	2360	1667
586	2364	1663
587	2368	1659
588	2372	1655
589	2375	1651
590	2379	1646
591	2383	1642
592	2386	1638
593	2390	1633
594	2393	1629
595	2397	1625
596	2401	1621
597	2405	1617
598	2408	1612
599	2413	1608
600	2417	1604
601	2420	1600
602	2424	1596
603	2429	1593
604	2434	1589
605	2439	1585
606	2443	1581
607	2447	1577
608	2451	1573
609	2455	1569
610	2459	1565
611	2463	1561
612	2467	1557
613	2470	1553
614	2474	1549
615	2478	1545
616	2482	1540
617	2486	1536
618	2490	1532
619	2494	1528
620	2498	1524
621	2502	1520
622	2506	1516
623	2508	1511
624	2512	1507
625	2516	1503
626	2520	1499
627	2525	1495
628	2529	1491
629	2534	1488
630	2538	1484
631	2542	1480
632	2546	1476
633	2549	1472
634	2553	1467
635	2557	1463
636	2561	1459
637	2565	1455
638	2569	1451
639	2573	1447
640	2577	1443
641	2581	1439
642	2584	1435
643	2588	1431
644	2592	1427
645	2596	1422
646	2599	1418
647	2603	1414
648	2607	1410
649	2611	1406
650	2615	1402
651	2621	1399
652	2626	1395
653	2630	1391
654	2635	1388
655	2639	1384
656	2643	1379
657	2647	1375
658	2651	1371
659	2653	1367
660	2657	1363
661	2661	1358
662	2666	1355
663	2670	1351
664	2673	1347
665	2678	1343
666	2681	1338
667	2685	1334
668	2689	1330
669	2693	1326
670	2698	1322
671	2701	1318
672	2705	1314
673	2710	1310
674	2714	1306
675	2718	1302
676	2721	1298
677	2725	1294
678	2729	1290
679	2733	1286
680	2737	1282
681	2742	1278
682	2747	1275
683	2752	1271
684	2757	1267
685	2761	1264
686	2769	1261
687	2775	1258
688	2780	1255
689	2784	1251
690	2787	1246
691	2791	1242
692	2795	1238
693	2799	1234
694	2803	1230
695	2807	1226
696	2811	1222
697	2815	1218
698	2819	1213
699	2822	1209
700	2826	1205
701	2830	1201
702	2834	1197
703	2838	1193
704	2843	1189
705	2848	1186
706	2852	1182
707	2856	1178
708	2859	1173
709	2863	1169
710	2867	1165
711	2871	1161
712	2875	1157
713	2879	1153
714	2884	1149
715	2888	1145
716	2892	1141
717	2896	1137
718	2900	1133
719	2904	1129
720	2908	1125
721	2913	1121
722	2917	1117
723	2921	1113
724	2925	1109
725	2931	1106
726	2935	1102
727	2939	1098
728	2943	1094
729	2947	1090
730	2951	1086
731	2955	1082
732	2961	1078
733	2966	1075
734	2970	1070
735	2974	1066
736	2978	1062
737	2982	1058
738	2985	1054
739	2992	1051
740	2997	1047
741	3001	1043
742	3005	1039
743	3009	1035
744	3013	1031
745	3017	1027
746	3021	1023
747	3025	1019
748	3029	1015
749	3033	1011
750	3037	1007
751	3041	1003
752	3046	999
753	3050	995
754	3055	991
755	3059	987
756	3063	983
757	3067	979
758	3071	975
759	3074	970
760	3082	968
761	3086	964
762	3090	960
763	3094	955
764	3098	951
765	3102	947
766	3105	943
767	3109	939
768	3113	935
769	3116	931
770	3120	926
771	3124	922
772	3128	918
773	3131	914
774	3135	910
775	3139	906
776	3143	902
777	3147	898
778	3151	894
779	3155	889
780	3159	885
781	3162	881
782	3166	877
783	3170	873
784	3174	869
785	3178	865
786	3183	861
787	3187	857
788	3191	853
789	3195	849
790	3198	845
791	3202	841
792	3206	836
793	3210	832
794	3213	828
795	3217	824
796	3221	820
797	3225	816
798	3228	812
799	3232	808
800	3236	804
801	3239	799
802	3243	795
803	3246	791
804	3250	787
805	3254	783
806	3257	779
807	3261	774
808	3264	770
809	3271	767
810	3275	763
811	3279	759
812	3282	755
813	3286	750
814	3289	746
815	3293	742
816	3296	738
817	3300	734
818	3303	730
819	3307	726
820	3311	721
821	3315	717
822	3319	713
823	3324	709
824	3327	705
825	3331	701
826	3335	697
827	3339	693
828	3343	689
829	3347	685
830	3350	681
831	3354	677
832	3360	673
833	3364	669
834	3368	665
835	3372	661
836	3376	657
837	3380	653
838	3384	649
839	3388	645
840	3392	641
841	3395	637
842	3399	633
843	3402	628
844	3406	624
845	3410	620
846	3414	616
847	3417	612
848	3421	608
849	3425	604
850	3429	600
851	3433	596
852	3437	592
853	3441	588
854	3445	584
855	3449	580
856	3453	576
857	3459	572
858	3464	568
859	3468	564
860	3472	560
861	3476	556
862	3479	552
863	3483	548
864	3487	544
865	3491	540
866	3494	536
867	3498	532
868	3503	528
869	3507	524
870	3510	519
871	3514	515
872	3518	511
873	3522	507
874	3526	503
875	3529	499
876	3533	495
877	3537	491
878	3541	487
879	3544	483
880	3549	479
881	3554	475
882	3557	471
883	3561	467
884	3565	463
885	3569	459
886	3572	455
887	3576	451
888	3580	447
889	3584	443
890	3587	438
891	3591	434
892	3595	430
893	3599	426
894	3602	422
895	3607	418
896	3613	414
897	3617	410
898	3620	406
899	3624	402
900	3628	398
901	3631	394
902	3635	390
903	3638	386
904	3643	382
905	3647	378
906	3651	374
907	3655	370
908	3659	366
909	3663	362
910	3668	358
911	3674	354
912	3678	350
913	3682	346
914	3686	342
915	3693	338
916	3697	334
917	3701	330
918	3705	326
919	3709	322
920	3713	318
921	3716	314
922	3720	310
923	3724	306
924	3728	302
925	3731	298
926	3735	294
927	3739	290
928	3743	286
929	3747	282
930	3750	277
931	3754	273
932	3758	269
933	3762	265
934	3766	261
935	3772	257
936	3777	253
937	3780	249
938	3785	245
939	3789	241
940	3792	237
941	3796	233
942	3800	229
943	3804	225
944	3808	221
945	3812	217
946	3816	213
947	3820	209
948	3823	205
949	3827	201
950	3831	197
951	3835	193
952	3839	189
953	3843	185
954	3847	181
955	3851	177
956	3855	173
957	3860	169
958	3866	165
959	3869	161
960	3874	157
961	3878	153
962	3882	149
963	3886	145
964	3889	141
965	3894	137
966	3898	133
967	3901	128
968	3906	124
969	3910	120
970	3913	116
971	3917	112
972	3921	108
973	3925	104
974	3929	100
975	3933	96
976	3937	92
977	3941	88
978	3945	84
979	3951	80
980	3955	76
981	3959	72
982	3962	68
983	3966	64
984	3970	60
985	3973	56
986	3977	52
987	3980	48
988	3984	44
989	3988	40
990	3992	36
991	3995	32
992	4000	28
993	4003	24
994	4007	20
995	4011	16
996	4015	12
997	4019	8
998	4022	4
999	4025	0
